"county","fips","population","sqr_miles","median_age","per_capita_income","median_household_income","percent_below_poverty_line","number_of_households","fertility_percent","housing_units","median_housing_value","percent_moved"
"richland","17159",15675,360,42.5,32156,60404,11.9,6401,6.9,7366,106600,11.2
"rock-island","17161",141236,427.5,40.7,36492,63087,15.6,62396,5.5,66763,144100,10.2
"st-clair","17163",251018,657.7,39.7,38652,65546,12.7,102701,6.2,116260,185400,11.1
"saline","17165",23387,380,43.2,35665,54945,17.1,10032,5.7,11578,92900,12.2
"sangamon","17167",193491,868.2,42.1,42198,72496,12,85477,4.7,93564,181700,10.9
"schuyler","17169",6826,437.3,48.8,33077,66059,19.3,2732,6.5,3317,106200,11.2
"scott","17171",4847,250.8,44.3,36508,73013,10.6,2032,4.5,2393,101700,6.5
"shelby","17173",20867,758.5,45.5,33372,68457,10,8795,4.5,10054,130400,7.5
"stark","17175",5324,288.1,44.6,34270,62284,12,2289,6.9,2584,103500,10.8
"stephenson","17177",44042,564.2,45.2,34672,61943,13.1,19469,7.9,21375,127500,11.1
"tazewell","17179",129541,646.5,42.2,39416,72056,8.7,54228,4.9,58832,162000,8.5
"union","17181",16972,413.4,44.3,31962,56420,19.4,6914,5.6,7861,131700,8
"vermilion","17183",71652,898.3,41.7,29021,46507,20.9,30703,4,34269,96100,7.4
"wabash","17185",11199,223.3,43,36323,53650,14.1,4784,7.5,5416,103900,13.2
"warren","17187",16576,542.4,38.7,33620,64650,12.8,6722,3.9,7598,101300,15.3
"washington","17189",13682,562.6,44.2,38507,75652,7.8,5722,7.4,6402,149800,8.2
"wayne","17191",15994,713.8,43.1,31073,53107,13.8,6853,6,7699,109400,11.6
"white","17193",13708,495,44.4,30769,53097,16.4,5669,6.5,6751,100100,11.6
"whiteside","17195",55192,684.1,43.4,36788,64536,12.1,23215,4.6,25850,125800,9
"will","17197",700728,835.9,39.6,45268,103482,7.1,246145,5.1,255998,322200,7.2
"williamson","17199",66706,420.2,40.8,35168,60135,19.1,29509,3.9,32200,155900,17.6
"winnebago","17201",280922,513,40.1,34473,65513,14.9,115540,6.7,125024,161400,12.5
"woodford","17203",38348,527.6,40.5,43032,85629,7.6,14704,5.7,15745,193800,8.7
